Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2014-06-30,1947.09,37.38,103.12,238.343,2.6,2085.383606546,40.03494405122,110.44417952279,25.558007623511
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,2027.761339029,39.698169798235,109.83792200504,24.943274109903
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,2007.3751712138,39.424059020045,109.4067886971,24.786315396963
2014-03-31,1863.52,36.23,100.85,236.293,2.72,2013.1935591829,39.139908693867,108.95003565489,24.956039153965
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1975.6220748698,38.942564453682,109.41610245292,24.590930877894
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,1988.7334373878,38.63550165444,109.58426582619,24.859609093633
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1980.1617353861,38.326488356526,109.7546194148,24.861869296462
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1953.4426762461,38.107798076964,107.61674304605,24.642077092412
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1880.0349316409,37.815004303221,105.27283306072,23.834737887631
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1839.3690199616,37.50321205728,102.88308493737,23.442287167961
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1822.8657774599,37.135705242499,101.75845399505,23.356649094916
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1823.5177255604,36.76875918252,100.63508122999,23.49246017716
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1769.6735218883,36.371466034843,99.428459148451,22.925333173915
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1797.0096656292,36.035020391079,98.479893537101,23.411841781842
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1724.3074903991,35.674696470578,97.465949378793,22.595655396106
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1700.7243122914,35.213568004021,96.176577824748,22.419207114603
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1662.8173038472,34.990438027101,95.991888799394,22.052724336862
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1641.0627436165,34.959233129234,96.338349661282,21.900475413822
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1581.3088868733,34.743900832313,96.18223555211,21.238261139846
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1546.2475598012,34.036791365688,95.919514553407,20.898162059574
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1586.716359498,33.264887211057,95.461361054311,21.577109654529
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1592.2767614204,32.641552265057,95.420556638304,21.783690301728
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1555.0930713086,32.318131209876,96.370820517495,21.410428453443
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1515.089567489,32.026301657762,97.434535276556,20.999341293381
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1472.2401485981,31.503189325338,97.802274204935,20.547504086856
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1489.8418502056,31.09784433131,97.888416291365,20.941467419743
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1538.197039116,30.702624291023,98.002835908469,21.779246906825
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1545.9709957627,30.435566737288,98.528887711864,22.053943972905
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1516.5053216157,30.322855558435,98.682898472743,21.797435963718
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1464.7210970816,30.110996426444,98.520507444908,21.213008091803
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1406.3958372328,29.896601018292,98.354500890673,20.523575499432
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1383.8574593555,29.352705741944,98.123191619149,20.345246797646
2011-10-31,1207.22,25.596666666667,86.97,226.421,2.15,1361.0436321278,28.858186718546,98.051692886261,20.155824786689
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1320.7255901344,28.329872184196,97.860694304263,19.698114568878
2011-08-31,1185.31,24.9,85.943333333333,226.545,2.3,1335.6104158776,28.057385287691,96.841173343044,20.04985272166
2011-07-31,1325.19,24.62,84.906666666667,225.922,3.0,1497.3452744089,27.818381255478,95.936881578598,22.610981701157
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1455.8104625823,27.526374522643,94.849508266806,22.100831286611
2011-05-31,1338.31,24.036666666667,83.016666666667,225.964,3.17,1511.8886245818,27.154219057018,93.783917017755,23.059491506095
2011-04-30,1331.51,23.733333333333,82.163333333333,224.906,3.46,1511.2827357429,26.937669959894,93.256548713685,23.143929447286
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1490.1489662232,26.764628535757,92.882285370994,22.899336430144
2011-02-28,1321.12,23.196666666667,79.99,221.309,3.58,1523.8615875541,26.756471246086,92.265417515781,23.489828703299
2011-01-31,1282.62,22.963333333333,78.67,220.223,3.39,1486.749028621,26.617948829141,91.190333911535,22.978299430555
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1445.9744108468,26.472979596585,90.087328279625,22.396379773044
2010-11-30,1198.89,22.603333333333,75.52,218.803,2.76,1398.7123057499,26.370693294882,88.107126867548,21.700723827761
2010-10-31,1171.58,22.476666666667,73.69,218.711,2.54,1367.4254334258,26.233945320537,86.008279578988,21.240127651759
2010-09-30,1122.08,22.35,71.86,218.439,2.65,1311.2816150962,26.118586996827,83.976808124923,20.381395233204
2010-08-31,1087.28,22.246666666667,70.273333333333,218.312,2.7,1271.3529101469,26.012953800066,82.170376387922,19.770299174359
2010-07-31,1079.8,22.143333333333,68.686666666667,218.011,3.01,1264.3498066611,25.927874809069,80.425980478049,19.668660470718
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1268.7859621499,25.812327024981,78.584716124148,19.742039853739
2010-05-31,1125.06,21.993333333333,65.043333333333,218.178,3.42,1316.3369074334,25.732526606716,76.101665910403,20.480068638423
2010-04-30,1197.32,21.946666666667,62.986666666667,218.009,3.85,1401.9681406731,25.697831373934,73.752463797366,21.804845599625
2010-03-31,1152.05,21.9,60.93,217.631,3.73,1351.3034980081,25.687727621525,71.468184656598,21.004601209715
2010-02-28,1089.16,22.07,57.61,216.741,3.69,1282.7822467369,25.99342996941,67.8514499564,19.9205393066
2010-01-31,1123.58,22.24,54.29,216.687,3.73,1323.6509433884,26.200178875521,63.957181256836,20.527859801454
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1312.570876318,26.490672867205,60.251209104928,20.322376500217
2009-11-30,1088.07,22.906666666667,38.16,216.33,3.4,1283.9331623215,27.030089030648,45.029170434059,19.812761079966
2009-10-31,1067.66,23.403333333333,25.35,216.177,3.39,1260.7408266837,27.635705949292,29.93441728306,19.358008443487
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1234.6394404984,28.24937305817,14.822055989517,18.83190226484
2009-08-31,1009.73,24.463333333333,10.863333333333,215.834,3.59,1194.2293229751,28.933308908698,12.848297279391,18.094069801576
2009-07-31,935.82,25.026666666667,9.1866666666667,215.351,3.56,1109.2967997827,29.665962730612,10.889636825462,16.694620816996
2009-06-30,926.12,25.59,7.51,215.693,3.72,1096.0580156982,30.285626724094,8.8880444196149,16.384182816215
2009-05-31,902.41,26.146666666667,7.2933333333333,213.856,3.29,1077.171341066,31.210248110878,8.7057652813108,15.996355755263
2009-04-30,848.15,26.703333333333,7.0766666666667,213.24,2.93,1015.3279062324,31.966797763084,8.4715405880698,14.981866453039
2009-03-31,757.13,27.26,6.86,212.709,2.82,908.62968090208,32.714652835564,8.2326675881133,13.323667656864
2009-02-28,805.23,27.636666666667,9.5333333333333,212.193,2.87,968.70429253086,33.247342537218,11.468749204733,14.122181801919
2009-01-31,865.58,28.013333333333,12.206666666667,211.143,2.52,1046.4846334948,33.868068654893,14.757837626632,15.17465193688
2008-12-31,877.56,28.39,14.88,210.228,2.42,1065.5862089731,34.472847979337,18.068192248416,15.376080747424
2008-11-30,883.04,28.543333333333,25.236666666667,212.425,3.53,1061.1507372484,34.300574390962,30.326947181358,15.259659405705
2008-10-31,968.8,28.696666666667,35.593333333333,216.573,3.81,1141.910714632,33.824350888615,41.953353326592,16.38735654879
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1419.9122049017,33.661586023594,53.613513961322,20.362733946098
2008-08-31,1281.47,28.803333333333,47.756666666667,219.086,3.89,1493.1249331541,33.560657025095,55.644431570251,21.401617360048
2008-07-31,1257.33,28.756666666667,49.563333333333,219.964,4.01,1459.1502022831,33.372540211125,57.518986947864,20.907206462662
2008-06-30,1341.25,28.71,51.37,218.815,4.1,1564.7140249754,33.493338048123,59.928692982657,22.416812802282
2008-05-31,1403.22,28.573333333333,54.376666666667,216.632,3.88,1653.5049033845,33.669807138373,64.07554407936,23.696432116623
2008-04-30,1370.47,28.436666666667,57.383333333333,214.823,3.68,1628.5124619105,33.790937446177,68.18790155151,23.356040643202
2008-03-31,1316.94,28.3,60.39,213.528,3.51,1574.3942209453,33.832487776779,72.195898828257,22.606810842249
2008-02-29,1354.87,28.11,62.32,211.693,3.74,1633.7795638259,33.896642142159,75.149012390584,23.495263401812
2008-01-31,1378.76,27.92,64.25,211.08,3.74,1667.4158297328,33.76530358158,77.701316444002,24.022317760837
2007-12-31,1479.22,27.73,66.18,210.036,4.1,1797.7999401531,33.702216262926,80.433201308347,25.95551010524
2007-11-30,1463.39,27.48,70.32,210.177,4.15,1777.3674587847,33.375967969854,85.407498822421,25.729053579498
2007-10-31,1539.66,27.23,74.46,208.936,4.53,1881.1086537983,33.268766248995,90.972909838419,27.320648130462
2007-09-30,1497.12,26.98,78.6,208.49,4.52,1833.0474750827,33.033838889155,96.236461700801,26.725743047697
2007-08-31,1454.62,26.71,80.706666666667,207.917,4.67,1785.9195223575,32.793382768124,99.088154696345,26.148607189312
2007-07-31,1520.71,26.44,82.813333333333,208.299,5.0,1863.6379568073,32.402356516354,101.48816758602,27.410088167204
2007-06-30,1514.19,26.17,84.92,208.352,5.1,1855.1756286717,32.063311871256,104.04342545308,27.418262740411
2007-05-31,1511.14,25.943333333333,84.33,207.949,4.75,1855.0268311461,31.847201068531,103.5207940168,27.548490451851
2007-04-30,1463.64,25.716666666667,83.74,206.686,4.69,1807.6965941573,31.761861350067,103.42468967419,26.976268314189
2007-03-31,1406.95,25.49,83.15,205.352,4.56,1748.9687800703,31.686423969574,103.36312879836,26.227605554651
2007-02-28,1444.8,25.286666666667,82.603333333333,203.499,4.72,1812.3738357437,31.719887223033,103.61857702003,27.315181413517
2007-01-31,1424.16,25.083333333333,82.056666666667,202.416,4.76,1796.0411204648,31.633171908347,103.48356051399,27.207536656807
2006-12-31,1416.42,24.88,81.51,201.8,4.56,1791.732695887,31.472521902874,103.10792846878,27.282689787572
2006-11-30,1388.64,24.62,80.53,201.5,4.6,1759.2070261042,31.189996674938,102.01992007444,26.928020270856
2006-10-31,1363.38,24.36,79.55,201.8,4.73,1724.6385414767,30.814736075322,100.62858188801,26.538040282102
2006-09-30,1317.74,24.1,78.57,202.9,4.72,1657.8682425333,30.320567520946,98.850082577624,25.644156440797
2006-08-31,1287.15,23.88,77.21,203.9,4.88,1611.4404670181,29.896436586562,96.662641074056,25.051393562011
2006-07-31,1260.24,23.66,75.85,203.5,5.09,1580.8518681081,29.679231891892,95.14665,24.696786766853
2006-06-30,1253.17,23.44,74.49,202.9,5.11,1576.6317676442,29.490211729916,93.716974051257,24.749582241646
2006-05-31,1290.01,23.22,73.883333333333,202.5,5.11,1626.186606,29.271132,93.13733,25.650640708757
2006-04-30,1302.17,23.0,73.276666666667,201.5,4.99,1649.6619809181,29.137689826303,92.830990645161,26.147280943875
2006-03-31,1293.74,22.78,72.67,199.8,4.72,1652.9276797297,29.104528378378,92.84574527027,26.327837778668
2006-02-28,1276.65,22.593333333333,71.723333333333,198.7,4.57,1640.1225992703,29.025838399597,92.143547483644,26.249624763583
